word,disc,celex_gcm_wf,celex_gcm_nof,reg.av,category,moder,celex_gcm_wf_trans_moder_reg
dwite,dw2t,0.793151996147962,0.763624467962245,0.42574257425742573,ove,DROVE,0.8434284612399994
feem,fim,0.802146324952269,0.816134192905321,0.6732673267326733,vowelt,KEPT,0.8077263001269988
feeve,fiv,0.617739955331158,0.623168235829506,0.5891089108910891,ove,DROVE,0.7008452275893263
fide,f2d,0.925425395148213,0.84569542948318,0.48514851485148514,ove,DROVE,0.9293926318073614
fim,fIm,0.7506902104012,0.954051667087709,0.7722772277227723,ablaut,SANG,0.7738188797281017
fleel,flil,0.61215729526782,0.305296988646315,0.5247524752475248,vowelt,KEPT,0.5119349232438609
freel,fril,0.696997380433407,0.55816581643407,0.4504950495049505,vowelt,KEPT,0.638908448909667
freen,frin,0.852047581724258,0.878205608346342,0.6584158415841584,vowelt,KEPT,0.756789456612091
freep,frip,0.403781669289312,0.518342887457503,0.4405940594059406,vowelt,KEPT,0.6034195143993876
frim,frIm,0.873371367332644,0.976247530099666,0.7079207920792079,ablaut,SANG,0.86270440104152335
frive,fr2v,0.507653389979042,0.520413612234978,0.4306930693069307,ove,DROVE,0.6148414709267792
geem,gim,0.907688882805449,0.953891615465735,0.693069306930693,vowelt,KEPT,0.9105810868209573
geep,gip,0.563709658996596,0.632277207634679,0.5099009900990099,vowelt,KEPT,0.5576880145139049
geeve,giv,0.647823538796109,0.684568362749338,0.599009900990099,ove,DROVE,0.7735563035153892
gim,gIm,0.866958965102078,0.954051667087709,0.7277227722772277,ablaut,SANG,0.8988456609937924
gink,gINk,0.678849608115143,0.649221443214292,0.5841584158415841,ablaut,SANG,0.6693506409226452
gleel,glil,0.931070745884434,0.917021690001883,0.5495049504950495,vowelt,KEPT,0.8395696811847515
glill,glIl,0.978439488051303,0.974520712041091,0.6732673267326733,novowelt,BURNT,0.9773018137158466
gline,gl2n,0.983947798026078,0.997427751847098,0.6188118811881188,ove,DROVE,0.9810721486443571
gling,glIN,0.755958271687249,0.765165113135231,0.5841584158415841,ablaut,SANG,0.7881728346955106
glink,glINk,0.917951786286925,0.954388800226455,0.6089108910891089,ablaut,SANG,0.9182746895620489
