"Cob","CobLog","past.o","past","Lemma.Class","Lemma.Cob","Lemma.CobLog","present.o","present","ending.2","ending.3","regular","category","class","monosyl","moder"
12,0,"nominated","nQmIn1tId","V",96,0.7,"nominate","nQmIn1t","ed","","Y",NA,"regular",FALSE,NA
4,0,"nonplussed","nQnplVst","V",20,0,"nonplus","nQnplVs","ed","","Y",NA,"regular",FALSE,NA
3,0,"nosed","n5zd","V",27,0.3,"nose","n5z","ed","","Y",NA,"regular",TRUE,NA
2,0,"notched","nQJt","V",15,0,"notch","nQJ","ed","","Y",NA,"regular",TRUE,NA
122,0.8451,"noted","n5tId","V",1072,1.78,"note","n5t","ed","","Y","mono","regular",TRUE,NA
297,1.2304,"noticed","n5tIst","V",2323,2.11,"notice","n5tIs","ed","","Y",NA,"regular",FALSE,NA
12,0,"notified","n5tIf2d","V",120,0.85,"notify","n5tIf2","ed","","Y",NA,"regular",FALSE,NA
7,0,"nourished","nVrISt","V",131,0.85,"nourish","nVrIS","ed","","Y",NA,"regular",FALSE,NA
11,0,"nudged","nV_d","V",95,0.7,"nudge","nV_","ed","","Y",NA,"regular",TRUE,NA
2,0,"nullified","nVlIf2d","V",29,0.3,"nullify","nVlIf2","ed","","Y",NA,"regular",FALSE,NA
7,0,"numbed","nVmd","V",61,0.48,"numb","nVm","ed","","Y",NA,"regular",TRUE,NA
28,0.301,"numbered","nVmb@d","V",168,0.95,"number","nVmb@R","ed","","Y",NA,"regular",FALSE,NA
11,0,"nursed","n3st","V",152,0.9,"nurse","n3s","ed","","Y",NA,"regular",TRUE,NA
9,0,"nurtured","n3J@d","V",108,0.78,"nurture","n3J@R","ed","","Y",NA,"regular",FALSE,NA
3,0,"nuzzled","nVzPd","V",45,0.48,"nuzzle","nVzP","ed","","Y",NA,"regular",FALSE,NA
27,0.301,"obeyed","@b1d","V",473,1.42,"obey","@b1","ed","","Y",NA,"regular",FALSE,NA
27,0.301,"objected","@b_EktId","V",439,1.38,"object","@b_Ekt","ed","","Y",NA,"regular",FALSE,NA
3,0,"obligated","QblIg1tId","V",15,0,"obligate","QblIg1t","ed","","Y",NA,"regular",FALSE,NA
80,0.6021,"obliged","@bl2_d","V",490,1.43,"oblige","@bl2_","ed","","Y",NA,"regular",FALSE,NA
9,0,"obliterated","@blIt@r1tId","V",83,0.7,"obliterate","@blIt@r1t","ed","","Y",NA,"regular",FALSE,NA
19,0,"obscured","@bskj9d","V",159,0.95,"obscure","@bskj9R","ed","","Y",NA,"regular",FALSE,NA
136,0.9031,"observed","@bz3vd","V",1235,1.84,"observe","@bz3v","ed","","Y",NA,"regular",FALSE,NA
35,0.301,"obsessed","@bsEst","V",184,1,"obsess","@bsEs","ed","","Y",NA,"regular",FALSE,NA
5,0,"obstructed","@bstrVktId","V",66,0.6,"obstruct","@bstrVkt","ed","","Y",NA,"regular",FALSE,NA
97,0.699,"obtained","@bt1nd","V",1207,1.83,"obtain","@bt1n","ed","","Y",NA,"regular",FALSE,NA
1,0,"obtruded","@btrudId","V",13,0,"obtrude","@btrud","ed","","Y",NA,"regular",FALSE,NA
1,0,"obviated","QbvI1tId","V",18,0,"obviate","QbvI1t","ed","","Y",NA,"regular",FALSE,NA
5,0,"occasioned","@k1ZHd","V",28,0.3,"occasion","@k1ZH","ed","","Y",NA,"regular",FALSE,NA
109,0.7782,"occupied","QkjUp2d","V",911,1.71,"occupy","QkjUp2","ed","","Y",NA,"regular",FALSE,NA
199,1.0414,"occurred","@k3d","V",2232,2.09,"occur","@k3R","ed","","Y",NA,"regular",FALSE,NA
26,0,"offended","@fEndId","V",310,1.23,"offend","@fEnd","ed","","Y",NA,"regular",FALSE,NA
333,1.2788,"offered","Qf@d","V",3672,2.31,"offer","Qf@R","ed","","Y",NA,"regular",FALSE,NA
1,0,"officiated","@fISI1tId","V",20,0,"officiate","@fISI1t","ed","","Y",NA,"regular",FALSE,NA
11,0,"oiled","4ld","V",69,0.6,"oil","4l","ed","","Y",NA,"regular",TRUE,NA
18,0,"omitted","@mItId","V",171,1,"omit","@mIt","ed","","Y",NA,"regular",FALSE,NA
4,0,"oozed","uzd","V",68,0.6,"ooze","uz","ed","","Y",NA,"regular",TRUE,NA
481,1.4314,"opened","5p@nd","V",4121,2.36,"open","5p@n","ed","","Y",NA,"regular",FALSE,NA
55,0.4771,"operated","Qp@r1tId","V",1476,1.91,"operate","Qp@r1t","ed","","Y",NA,"regular",FALSE,NA
2,0,"opined","5p2nd","V",14,0,"opine","5p2n","ed","","Y",NA,"regular",FALSE,NA
136,0.9031,"opposed","@p5zd","V",1081,1.78,"oppose","@p5z","ed","","Y",NA,"regular",FALSE,NA
24,0,"oppressed","@prEst","V",146,0.9,"oppress","@prEs","ed","","Y",NA,"regular",FALSE,NA
1,0,"orbited","$bItId","V",36,0.3,"orbit","$bIt","ed","","Y",NA,"regular",FALSE,NA
6,0,"orchestrated","$kIstr1tId","V",41,0.3,"orchestrate","$kIstr1t","ed","","Y",NA,"regular",FALSE,NA
13,0,"ordained","$d1nd","V",80,0.6,"ordain","$d1n","ed","","Y",NA,"regular",FALSE,NA
181,1,"ordered","$d@d","V",1541,1.93,"order","$d@R","ed","","Y",NA,"regular",FALSE,NA
85,0.699,"organized","$g@n2zd","V",1118,1.79,"organize","$g@n2z","ed","","Y",NA,"regular",FALSE,NA
9,0,"oriented","$r7ntId","V",55,0.48,"orient","$r7nt","ed","","Y",NA,"regular",FALSE,NA
8,0,"orientated","$rIEnt1tId","V",45,0.48,"orientate","$rIEnt1t","ed","","Y",NA,"regular",FALSE,NA
19,0,"originated","@rI_@n1tId","V",175,1,"originate","@rI_@n1t","ed","","Y",NA,"regular",FALSE,NA
4,0,"ornamented","$n@mEntId","V",20,0,"ornament","$n@mEnt","ed","","Y",NA,"regular",FALSE,NA
4,0,"orphaned","$fHd","V",20,0,"orphan","$fH","ed","","Y",NA,"regular",FALSE,NA
1,0,"oscillated","QsIl1tId","V",36,0.3,"oscillate","QsIl1t","ed","","Y",NA,"regular",FALSE,NA
2,0,"ossified","QsIf2d","V",16,0,"ossify","QsIf2","ed","","Y",NA,"regular",FALSE,NA
3,0,"ostracized","Qstr@s2zd","V",22,0,"ostracize","Qstr@s2z","ed","","Y",NA,"regular",FALSE,NA
5,0,"ousted","6stId","V",41,0.3,"oust","6st","ed","","Y","mono","regular",TRUE,NA
1,0,"outdistanced","6tdIst@nst","V",10,0,"outdistance","6tdIst@ns","ed","","Y",NA,"regular",FALSE,NA
2,0,"outflanked","6tfl{Nkt","V",23,0,"outflank","6tfl{Nk","ed","","Y",NA,"regular",FALSE,NA
1,0,"outlasted","6tl#stId","V",18,0,"outlast","6tl#st","ed","","Y",NA,"regular",FALSE,NA
5,0,"outlawed","6tl$d","V",56,0.48,"outlaw","6tl$","ed","","Y",NA,"regular",FALSE,NA
35,0.301,"outlined","6tl2nd","V",276,1.18,"outline","6tl2n","ed","","Y",NA,"regular",FALSE,NA
4,0,"outlived","6tlIvd","V",35,0.3,"outlive","6tlIv","ed","","Y",NA,"regular",FALSE,NA
1,0,"outmanoeuvred","6tm@nuv@d","V",10,0,"outmanoeuvre","6tm@nuv@R","ed","","Y",NA,"regular",FALSE,NA
12,0,"outnumbered","6tnVmb@d","V",87,0.7,"outnumber","6tnVmb@R","ed","","Y",NA,"regular",FALSE,NA
24,0,"outraged","6tr1_d","V",137,0.9,"outrage","6tr1_","ed","","Y",NA,"regular",FALSE,NA
4,0,"outstripped","6tstrIpt","V",46,0.48,"outstrip","6tstrIp","ed","","Y",NA,"regular",FALSE,NA
8,0,"outweighed","6tw1d","V",94,0.7,"outweigh","6tw1","ed","","Y",NA,"regular",FALSE,NA
3,0,"outwitted","6twItId","V",44,0.3,"outwit","6twIt","ed","","Y",NA,"regular",FALSE,NA
1,0,"over-indulged","5v@rIndVl_d","V",10,0,"over-indulge","5v@rIndVl_","ed","","Y",NA,"regular",FALSE,NA
5,0,"overawed","5v@r$d","V",30,0.3,"overawe","5v@r$","ed","","Y",NA,"regular",FALSE,NA
1,0,"overbalanced","5v@b{l@nst","V",10,0,"overbalance","5v@b{l@ns","ed","","Y",NA,"regular",FALSE,NA
2,0,"overburdened","5v@b3dHd","V",10,0,"overburden","5v@b3dH","ed","","Y",NA,"regular",FALSE,NA
2,0,"overcharged","5v@J#_d","V",17,0,"overcharge","5v@J#_","ed","","Y",NA,"regular",FALSE,NA
17,0,"overcrowded","5v@kr6dId","V",139,0.9,"overcrowd","5v@kr6d","ed","","Y",NA,"regular",FALSE,NA
2,0,"overdressed","5v@drEst","V",11,0,"overdress","5v@drEs","ed","","Y",NA,"regular",FALSE,NA
4,0,"overestimated","5v@rEstIm1tId","V",48,0.48,"overestimate","5v@rEstIm1t","ed","","Y",NA,"regular",FALSE,NA
